pitch_type,release_speed,player_name,pitcher,p_throws,balls,strikes,inning,inning_topbot,launch_angle,launch_speed,effective_speed,iso_value,woba_value,estimated_woba_using_speedangle,estimated_ba_using_speedangle,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,events,n_priorpa_thisgame_player_at_bat,zone
FF,96.6,"Giménez, Andrés",669684,L,0,2,9,Top,,,96.3,0.0,0.0,0.0,,,0.174,,strikeout,3,7
FF,96.4,"Giménez, Andrés",669684,L,0,1,9,Top,,,96.4,,,,,,0.055,,,3,2
SL,88.8,"Giménez, Andrés",669684,L,0,0,9,Top,,,88.8,,,,,,0.042,,,3,7
FF,95.9,"Clement, Ernie",669684,L,1,1,9,Top,66.0,66.2,95.7,0.0,0.0,0.003,0.003,0.004,0.235,88.0,field_out,3,2
CH,85.2,"Clement, Ernie",669684,L,0,1,9,Top,,,85.2,,,,,,-0.019,,,3,12
CU,77.6,"Clement, Ernie",669684,L,0,0,9,Top,,,76.4,,,,,,0.04,,,3,9
SL,89.1,"Varsho, Daulton",669684,L,1,1,9,Top,81.0,66.9,89.1,0.0,0.0,0.003,0.003,0.003,0.234,88.0,field_out,3,2
SI,92.2,"Varsho, Daulton",669684,L,1,0,9,Top,,,92.7,,,,,,0.048,,,3,12
SL,88.8,"Varsho, Daulton",669684,L,0,0,9,Top,,,88.8,,,,,,-0.04,,,3,12
SL,87.9,"Okamoto, Kazuma",669684,L,3,2,9,Top,,,87.5,0.0,0.7,0.704716,,,-0.356,,walk,3,12
CH,85.1,"Okamoto, Kazuma",669684,L,2,2,9,Top,,,85.5,,,,,,-0.112,,,3,14
CU,76.6,"Okamoto, Kazuma",669684,L,2,1,9,Top,,,75.6,,,,,,0.073,,,3,13
CU,77.9,"Okamoto, Kazuma",669684,L,1,1,9,Top,,,77.0,,,,,,-0.055,,,3,13
SL,89.6,"Okamoto, Kazuma",669684,L,1,0,9,Top,45.0,85.9,89.5,,,,,,0.05,88.0,,3,5
SL,89.5,"Okamoto, Kazuma",669684,L,0,0,9,Top,,,89.1,,,,,,-0.041,,,3,12
SI,96.6,"Hill, Derek",693686,R,2,2,8,Bot,,,97.3,0.0,0.0,0.0,,,0.203,,strikeout,3,6
FF,97.8,"Hill, Derek",693686,R,1,2,8,Bot,,,98.8,,,,,,-0.012,,,3,12
SL,86.7,"Hill, Derek",693686,R,1,2,8,Bot,18.0,76.0,87.9,,,,,,0.0,88.0,,3,6
SI,96.9,"Hill, Derek",693686,R,1,1,8,Bot,,,97.8,,,,,,0.063,88.0,,3,11
SI,96.8,"Hill, Derek",693686,R,0,1,8,Bot,,,97.7,,,,,,-0.018,,,3,12
CU,80.1,"Hill, Derek",693686,R,0,0,8,Bot,,,80.4,,,,,,0.047,,,3,4
